id,level,code,category,name,support,threshold,precision,recall,f1
main_c01,main,1,,美学景观体验,2025,0.4915545449050568,0.9267068273092369,0.9116049382716049,0.919093851132686
main_c02,main,2,,游憩活动与运动体验,1694,0.5101731055145131,0.9115727002967359,0.9067296340023613,0.9091447173720035
main_c03,main,3,,蓝空间亲水体验,1148,0.48983624492734973,0.8948339483394834,0.8449477351916377,0.8691756272401433
main_c04,main,4,,生态自然与生物感知,1152,0.43372259007942227,0.8968609865470852,0.8680555555555556,0.8822232024702249
main_c05,main,5,,文化遗产与地方认同,185,0.30995085913974213,0.7070707070707071,0.7567567567567568,0.731070496083551
main_c06,main,6,,教育科普与认知体验,129,0.23178875867186066,0.6231884057971014,0.6666666666666666,0.644194756554307
main_c07,main,7,,精神恢复与心理舒适,982,0.5036922720683039,0.9165763813651138,0.8615071283095723,0.8881889763779527
main_c08,main,8,,社交亲子与全龄共享,1023,0.47158293606666063,0.9001937984496124,0.9081133919843597,0.9041362530413626
main_c09,main,9,,可达交通与游线导向,885,0.46521870244075375,0.89988358556461,0.8734463276836159,0.886467889908257
main_c10,main,10,,设施维护与管理服务,662,0.4489658760040614,0.8809523809523809,0.7824773413897281,0.8288000000000001
main_c11,main,11,,空间承载与秩序体验,592,0.5216416816107556,0.8670634920634921,0.7381756756756757,0.7974452554744526
main_c12,main,12,,环境舒适与微气候,469,0.4525671715847289,0.8661971830985915,0.7867803837953091,0.8245810055865921
sub_c01_s01,sub,1,美学景观体验,自然景观观赏,1403,0.48403514770008543,0.9464684014869889,0.9073414112615823,0.9264919941775837
sub_c01_s02,sub,1,美学景观体验,园林设计审美,207,0.38171123365686477,0.6764705882352942,0.6666666666666666,0.6715328467153284
sub_c01_s03,sub,1,美学景观体验,赏花季相,317,0.4555545487097144,0.8850174216027874,0.8012618296529969,0.8410596026490067
sub_c01_s04,sub,1,美学景观体验,拍照打卡,645,0.42940763351772515,0.925984251968504,0.9116279069767442,0.9187500000000001
sub_c01_s05,sub,1,美学景观体验,夜景灯光,447,0.48357626354858496,0.9061728395061729,0.8210290827740492,0.8615023474178404
sub_c02_s01,sub,2,游憩活动与运动体验,散步跑步,884,0.43306203165288165,0.9331823329558324,0.9321266968325792,0.9326542161856254
sub_c02_s02,sub,2,游憩活动与运动体验,骑行徒步,529,0.4026845882623654,0.8745454545454545,0.9092627599243857,0.891566265060241
sub_c02_s03,sub,2,游憩活动与运动体验,游乐场与游乐设施,277,0.4349829941523784,0.8804347826086957,0.8772563176895307,0.8788426763110307
sub_c02_s04,sub,2,游憩活动与运动体验,露营野餐,345,0.3716946642792443,0.8575268817204301,0.9246376811594202,0.8898186889818688
sub_c02_s05,sub,2,游憩活动与运动体验,球类健身,444,0.4815394362419987,0.9261904761904762,0.8761261261261262,0.9004629629629629
sub_c03_s01,sub,3,蓝空间亲水体验,滨海沙滩,783,0.4662590251840625,0.8958594730238394,0.9118773946360154,0.9037974683544303
sub_c03_s02,sub,3,蓝空间亲水体验,湖河湿地,310,0.4628439656966777,0.9148148148148149,0.7967741935483871,0.8517241379310345
sub_c03_s03,sub,3,蓝空间亲水体验,亲水戏水,90,0.3648970647358472,0.6455696202531646,0.5666666666666667,0.6035502958579881
sub_c03_s04,sub,3,蓝空间亲水体验,栈道观景,179,0.3524840059221862,0.7407407407407407,0.7821229050279329,0.7608695652173911
sub_c04_s01,sub,4,生态自然与生物感知,植物与绿化,871,0.40676671006720083,0.8815489749430524,0.8886337543053962,0.8850771869639795
sub_c04_s02,sub,4,生态自然与生物感知,动物与观鸟,150,0.3477536874858029,0.7450980392156863,0.76,0.7524752475247525
sub_c04_s03,sub,4,生态自然与生物感知,生境与生态,188,0.33095408675875404,0.8702702702702703,0.8563829787234043,0.8632707774798928
sub_c04_s04,sub,4,生态自然与生物感知,空气与自然接触,233,0.2837664204693397,0.9016393442622951,0.944206008583691,0.9224318658280922
sub_c05_s01,sub,5,文化遗产与地方认同,历史遗产,119,0.35752801026616216,0.7631578947368421,0.7310924369747899,0.7467811158798283
sub_c05_s02,sub,5,文化遗产与地方认同,地方符号,59,0.37193203059295055,0.7017543859649122,0.6779661016949152,0.689655172413793
sub_c05_s03,sub,5,文化遗产与地方认同,城市记忆,4,0.0009167932439275195,0.25,0.75,0.375
sub_c05_s04,sub,5,文化遗产与地方认同,民俗节庆,12,0.0015893678938146668,0.45454545454545453,0.4166666666666667,0.43478260869565216
sub_c06_s01,sub,6,教育科普与认知体验,自然教育,28,0.01220668226836684,0.6111111111111112,0.7857142857142857,0.6875000000000001
sub_c06_s02,sub,6,教育科普与认知体验,展陈解说,69,0.23588822881370125,0.6666666666666666,0.6086956521739131,0.6363636363636365
sub_c06_s03,sub,6,教育科普与认知体验,研学观察,47,0.22176670996364994,0.47619047619047616,0.425531914893617,0.449438202247191
sub_c07_s01,sub,7,精神恢复与心理舒适,放松疗愈,822,0.4608982829829141,0.9231707317073171,0.9209245742092458,0.9220462850182704
sub_c07_s02,sub,7,精神恢复与心理舒适,安静独处,152,0.28921168883054327,0.7380952380952381,0.8157894736842105,0.775
sub_c07_s03,sub,7,精神恢复与心理舒适,安全安心,17,0.0036213865513273933,0.3,0.17647058823529413,0.22222222222222224
sub_c07_s04,sub,7,精神恢复与心理舒适,压力缓解,102,0.3833147965767759,0.8837209302325582,0.7450980392156863,0.8085106382978724
sub_c08_s01,sub,8,社交亲子与全龄共享,亲子活动,740,0.47827065733278673,0.9456824512534819,0.9175675675675675,0.9314128943758574
sub_c08_s02,sub,8,社交亲子与全龄共享,朋友聚会,412,0.379174236338086,0.966321243523316,0.9053398058252428,0.9348370927318296
sub_c08_s03,sub,8,社交亲子与全龄共享,社区邻里,71,0.32491563944069324,0.9137931034482759,0.7464788732394366,0.8217054263565892
sub_c08_s04,sub,8,社交亲子与全龄共享,老年友好,187,0.4015534734895151,0.8478260869565217,0.8342245989304813,0.8409703504043127
sub_c08_s05,sub,8,社交亲子与全龄共享,宠物友好,32,0.14113537245057042,0.6111111111111112,0.6875,0.6470588235294118
sub_c09_s01,sub,9,可达交通与游线导向,公共交通到达,487,0.47874901397188246,0.9389978213507625,0.8850102669404517,0.9112050739957717
sub_c09_s02,sub,9,可达交通与游线导向,停车设施,337,0.33557939745959836,0.9791666666666666,0.9762611275964391,0.9777117384843982
sub_c09_s03,sub,9,可达交通与游线导向,入口步行,294,0.4910151884664727,0.8914728682170543,0.782312925170068,0.8333333333333333
sub_c09_s04,sub,9,可达交通与游线导向,导向标识,93,0.2813367415301597,0.5966386554621849,0.7634408602150538,0.669811320754717
sub_c09_s05,sub,9,可达交通与游线导向,无障碍通行,17,0.0015567455578236703,0.35294117647058826,0.35294117647058826,0.35294117647058826
sub_c10_s01,sub,10,设施维护与管理服务,设施维护修缮,362,0.47932588055088526,0.9556313993174061,0.7734806629834254,0.8549618320610688
sub_c10_s02,sub,10,设施维护与管理服务,卫生保洁,262,0.3803894148325973,0.9227467811158798,0.8206106870229007,0.8686868686868686
sub_c10_s03,sub,10,设施维护与管理服务,安全管理,126,0.2950847214481555,0.8174603174603174,0.8174603174603174,0.8174603174603176
sub_c10_s04,sub,10,设施维护与管理服务,台风灾后恢复,23,0.22814352600750748,0.8571428571428571,0.782608695652174,0.8181818181818182
sub_c11_s01,sub,11,空间承载与秩序体验,空间开阔感知,179,0.32910444573166675,0.6777251184834123,0.7988826815642458,0.7333333333333333
sub_c11_s02,sub,11,空间承载与秩序体验,拥挤与排队,321,0.4244027347844474,0.8705501618122977,0.838006230529595,0.8539682539682539
sub_c11_s03,sub,11,空间承载与秩序体验,动线秩序,62,0.3096175953116963,0.7346938775510204,0.5806451612903226,0.6486486486486487
sub_c11_s04,sub,11,空间承载与秩序体验,场地容量,83,0.5228625830359492,0.9705882352941176,0.7951807228915663,0.8741721854304635
sub_c12_s01,sub,12,环境舒适与微气候,遮阴通风,156,0.3735783840008173,0.8134328358208955,0.6987179487179487,0.7517241379310345
sub_c12_s02,sub,12,环境舒适与微气候,湿热体感,291,0.41308033699481084,0.9266409266409267,0.8247422680412371,0.8727272727272727
sub_c12_s03,sub,12,环境舒适与微气候,空气质量,32,0.012018377065381601,0.8666666666666667,0.8125,0.8387096774193549
sub_c12_s04,sub,12,环境舒适与微气候,噪音环境,39,0.29986661049154506,0.7419354838709677,0.5897435897435898,0.6571428571428573
